Year,PM,Bin,Min,Count,Frequency,Crash Type
2018,ICT,135-150,135,3,0.003177966,PI
2018,ICT,150-165,150,5,0.00529661,PI
2018,ICT,165-180,165,2,0.002118644,PI
2018,ICT,180-195,180,1,0.001059322,PI
2018,ICT,195-210,195,1,0.001059322,PI
2018,ICT,210-225,210,1,0.001059322,PI
2018,ICT,225+,225,2,0.002118644,PI
2018,ICT,0-15,0,0,0,FII
2018,ICT,15-30,15,0,0,FII
2018,ICT,30-45,30,0,0,FII
2018,ICT,45-60,45,0,0,FII
2018,ICT,60-75,60,0,0,FII
2018,ICT,75-90,75,0,0,FII
2018,ICT,90-105,90,0,0,FII
2018,ICT,105-120,105,0,0,FII
2018,ICT,120-135,120,0,0,FII
2018,ICT,135-150,135,0,0,FII
2018,ICT,150-165,150,0,0,FII
2018,ICT,165-180,165,0,0,FII
2018,ICT,180-195,180,1,0.001059322,FII
2018,ICT,195-210,195,1,0.001059322,FII
2018,ICT,210-225,210,0,0,FII
2018,ICT,225+,225,7,0.007415254,FII
2022,RT,0-5,0,158,0.124213836,PDO
2022,RT,5-10,5,173,0.136006289,PDO
2022,RT,10-15,10,175,0.137578616,PDO
2022,RT,15-20,15,102,0.080188679,PDO
2022,RT,20-25,20,71,0.05581761,PDO
2022,RT,25-30,25,45,0.035377358,PDO
2022,RT,30-35,30,22,0.017295597,PDO
2022,RT,35-40,35,16,0.012578616,PDO
2022,RT,40-45,40,7,0.005503145,PDO
2022,RT,45-50,45,10,0.007861635,PDO
2022,RT,50-55,50,5,0.003930818,PDO
2022,RT,55-60,55,2,0.001572327,PDO
2022,RT,60-65,60,2,0.001572327,PDO
2022,RT,65-70,65,3,0.002358491,PDO
2022,RT,70-75,70,4,0.003144654,PDO
2022,RT,75+,75,9,0.007075472,PDO
2022,RT,0-5,0,44,0.034591195,PI
2022,RT,5-10,5,106,0.083333333,PI
2022,RT,10-15,10,125,0.09827044,PI
2022,RT,15-20,15,78,0.061320755,PI
2022,RT,20-25,20,42,0.033018868,PI
2022,RT,25-30,25,19,0.014937107,PI
2022,RT,30-35,30,12,0.009433962,PI
2022,RT,35-40,35,8,0.006289308,PI
2022,RT,40-45,40,10,0.007861635,PI
2022,RT,45-50,45,3,0.002358491,PI
2022,RT,50-55,50,3,0.002358491,PI
2022,RT,55-60,55,0,0,PI
2022,RT,60-65,60,0,0,PI
2022,RT,65-70,65,2,0.001572327,PI
2022,RT,70-75,70,3,0.002358491,PI
2022,RT,75+,75,4,0.003144654,PI
2022,RT,0-5,0,1,0.000786164,FII
2022,RT,5-10,5,3,0.002358491,FII
2022,RT,10-15,10,1,0.000786164,FII
2022,RT,15-20,15,0,0,FII
2022,RT,20-25,20,0,0,FII
2022,RT,25-30,25,0,0,FII
2022,RT,30-35,30,2,0.001572327,FII
2022,RT,35-40,35,0,0,FII
2022,RT,40-45,40,0,0,FII
2022,RT,45-50,45,0,0,FII
2022,RT,50-55,50,0,0,FII
2022,RT,55-60,55,1,0.000786164,FII
2022,RT,60-65,60,0,0,FII
2022,RT,65-70,65,1,0.000786164,FII
2022,RT,70-75,70,0,0,FII
2022,RT,75+,75,0,0,FII
2022,RCT,0-15,0,33,0.025943396,PDO
2022,RCT,15-30,15,27,0.021226415,PDO
2022,RCT,30-45,30,13,0.010220126,PDO
2022,RCT,45-60,45,11,0.008647799,PDO
2022,RCT,60-75,60,7,0.005503145,PDO
2022,RCT,75-90,75,10,0.007861635,PDO
2022,RCT,90-105,90,6,0.004716981,PDO
2022,RCT,105-120,105,1,0.000786164,PDO
2022,RCT,120-135,120,4,0.003144654,PDO
2022,RCT,135-150,135,0,0,PDO
2022,RCT,150-165,150,0,0,PDO
2022,RCT,165-180,165,0,0,PDO
