Year,Date,Time,Location,Crash Type,Number of IMT Teams,Number of UHP Teams,RT,RT for IMT sec,RT for UHP,RT for UHP min,RT for UHP sec,RCT,RCT for IMT Numeric sec,Ln RCT for IMT,ICT,ICT for IMT Numeric sec,Ln ICT for IMT,ICT for UHP Numeric min,ICT for UHP Numeric sec,Ln ICT for UHP,Lanes at Bottleneck,Number of Lanes Closed,Lanes Available,Time Weighted Number of Lanes Closed,Roadway Capacity,Lane Ratio,AV,Ln AV,ETT,Ln ETT,EUC,Ln Cost,Time Range,T7-T5,T7T5,T7-T5 Sec,Ln T7-T5,T7T0,T7-T0 min,T7-T0 sec,Ln T7-T0,T5-T0,T5-T0 min,T5-T0 sec,Ln T5-T0,T5-T7 min,T5-T7 sec,Ln T5-T7
2018,3/8/18,16:27:17,900 S I15 SB                                                ,PD Crash,1,3,26.66666667,1600,0:10:13,10.22,613,23.71666666,1423,3.166178036,55.04999999,3302.999999,4.008241863,54.8,3288,8.098034756,5,2,3,2,0.6,0.4,6035,8.705331134,175.65,5.17,4263.23,8.36,PM Peak,0:39,39,2340,3.663561646,1:05,65,3900,4.17438727,0:26,26,1560,3.258096538,,,
2018,3/9/18,9:51:34,9488 S I15 NB                                               ,PD Crash,1,2,13.81666667,829.0000002,0:10:16,10.27,616,48.43333334,2906,3.880188282,68.56666668,4114.000001,4.227806508,71.67,4300,8.366370302,5,2,3,0.86,0.83,0.4,8575,9.056606272,289.7,5.67,7782.76,8.96,Afternoon Off Peak,0:25,25,1500,3.218875825,1:15,75,4500,4.317488114,0:50,50,3000,3.912023005,,,
2018,3/9/18,16:13:23,1700 S I15 SB                                               ,PD Crash,1,3,11.95,717,0:00:00,0,0,16.41666666,984.9999996,2.798297079,16.41666666,984.9999996,2.798297079,71.45,4287,8.363342467,5,2,3,1.39,0.72,0.4,7560,8.930626469,327.88,5.79,7958.03,8.98,PM Peak,0:57,57,3420,4.043051268,1:25,85,5100,4.442651256,0:28,28,1680,3.33220451,,,
2018,3/13/18,11:13:41,6400 S I15 NB                                               ,PD Crash,2,4,11.10000001,666.0000006,0:00:00,0,0,66.31666667,3979,4.194441248,96.06666667,5764,4.565042395,302.8,18168,9.807417084,5,2,3,1.72,0.66,0.4,8798,9.082279702,386.7,5.96,10388.66,9.25,Afternoon Off Peak,0:05,5,300,1.609437912,1:15,75,4500,4.317488114,1:10,70,4200,4.248495242,,,
2018,3/13/18,14:32:03,3300 S I15 SB                                               ,PD Crash,1,2,14.98333333,898.9999998,0:12:50,12.83,770,14.95,897,2.7047113,32.21666666,1933,3.472483917,81.8,4908,8.498621806,4,1,3,1,0.75,0.25,4889,8.494743063,155.73,5.05,4233.56,8.35,Afternoon Off Peak,0:23,23,1380,3.135494216,0:40,40,2400,3.688879454,0:17,17,1020,2.833213344,,,
2018,3/13/18,17:28:56,271005 I15 SB                                               ,PI Crash,1,3,25.78333334,1547,0:04:55,4.92,295,10.06666667,604.0000002,2.309229636,34.7,2082,3.546739687,53.43,3206,8.072779333,6,2,4,2,0.67,0.333,6359,8.757626411,327.45,5.79,7947.59,8.98,PM Peak,0:31,31,1860,3.433987204,0:45,45,2700,3.80666249,0:14,14,840,2.63905733,,,
2018,3/13/18,14:47:49,281917 I15 SB; MM 282 I15 SB                                ,PI Crash,2,4,18.98333333,1139,0:03:04,3.07,184,58.18333333,3491,4.063598945,59.04999999,3542.999999,4.078384542,102.83,6170,8.727454117,5,2,3,1.59,0.68,0.4,27602,10.22564351,3228.09,8.08,87756.53,11.38,Afternoon Off Peak,3:14,194,11640,5.267858159,4:15,255,15300,5.541263545,1:01,61,3660,4.110873864,,,
2018,3/14/18,7:08:27,11100 S I15 NB                                              ,PD Crash,1,2,0.033333331,1.99999986,0:00:06,0.1,6,4.549999995,272.9999997,1.515127232,9.683333334,581,2.270406195,56.8,3408,8.133880888,5,4,1,2.33,0.53,0.8,6477,8.776012719,321.24,5.77,7100.32,8.87,AM Peak,0:42,42,2520,3.737669618,0:50,50,3000,3.912023005,0:08,8,480,2.079441542,,,
2018,3/15/18,12:18:41,7682 E I80 WB                                               ,PI Crash,2,3,7.483333333,449,0:09:39,9.65,579,64.31666667,3859,4.163818799,81.55,4893,4.401216329,117.85,7071,8.863757192,3,2,1,1.06,0.65,0.667,1662,7.415776975,14.69,2.69,411.77,6.02,Afternoon Off Peak,0:02,2,120,0.693147181,1:07,67,4020,4.204692619,1:05,65,3900,4.17438727,,,
2018,3/15/18,16:48:01,4100 S I215E NB                                             ,PD Crash,2,2,30.83333333,1850,0:16:03,16.05,963,81.98333333,4919,4.406515975,87.16666666,5230,4.467821995,106.57,6394,8.76311533,3,1,2,1,0.67,0.333,4605,8.434897949,700.07,6.55,17944.63,9.8,PM Peak,0:15,15,900,2.708050201,1:40,100,6000,4.605170186,1:25,85,5100,4.442651256,,,
