Year,Date,Time,Location,Crash Type,Number of IMT Teams,Number of UHP Teams,RT,RT for IMT sec,RT for UHP,RT for UHP min,RT for UHP sec,RCT,RCT for IMT Numeric sec,Ln RCT for IMT,ICT,ICT for IMT Numeric sec,Ln ICT for IMT,ICT for UHP Numeric min,ICT for UHP Numeric sec,Ln ICT for UHP,Lanes at Bottleneck,Number of Lanes Closed,Lanes Available,Time Weighted Number of Lanes Closed,Roadway Capacity,Lane Ratio,AV,Ln AV,ETT,Ln ETT,EUC,Ln Cost,Time Range,T7-T5,T7T5,T7-T5 Sec,Ln T7-T5,T7T0,T7-T0 min,T7-T0 sec,Ln T7-T0,T5-T0,T5-T0 min,T5-T0 sec,Ln T5-T0,T5-T7 min,T5-T7 sec,Ln T5-T7
2018,4/27/18,12:57:33,279002 I15 NB                                               ,PI Crash,1,3,7.35,441,0:11:45,11.75,705,12.45,747,2.521720623,,,,44.27,2656,7.884576511,6,3,3,1.73,0.71,0.5,4279,8.361474616,92.96,4.53,2497.36,7.82,Afternoon Off Peak,0:35,35,2100,3.555348061,0:50,50,3000,3.912023005,0:15,15,900,2.708050201,,,
2018,5/1/18,6:50:18,269012 I15 SB,PI Crash,1,5,3.583333333,215,0:00:00,0,0,49.7,2982,3.906004933,49.94999999,2996.999999,3.911022505,117.88,7073,8.864039997,5,1,4,1,0.8,0.2,5868,8.677269139,146.6,4.99,3386.16,8.13,AM Peak,0:05,5,300,1.609437912,0:55,55,3300,4.007333185,0:50,50,3000,3.912023005,,,
2018,5/1/18,17:35:29,382 S I215W SB                                              ,PI Crash,2,3,20.3,1218,0:08:11,8.18,491,92.51666667,5551,4.527388809,92.55,5553,4.527749039,140.37,8422,9.038602609,5,5,0,3.39,0.32,1,2696,7.899524472,449.68,6.11,11526.47,9.35,PM Peak,0:02,2,120,0.693147181,1:35,95,5700,4.553876892,1:33,93,5580,4.532599493,,,
2018,5/2/18,15:23:34,10000 S I15 NB                                              ,PD Crash,1,4,16.31666667,979.0000002,0:11:57,11.95,717,13.43333333,805.9999998,2.59773918,66.71666667,4003,4.200454797,198.67,11920,9.385972941,6,2,4,1.25,0.79,0.333,23063,10.04598488,3268.53,8.09,87808.74,11.38,Afternoon Off Peak,3:28,208,12480,5.33753808,3:45,225,13500,5.416100402,0:17,17,1020,2.833213344,,,
2018,5/2/18,15:55:00,2200 S I15 NB,PD Crash,1,2,10.4,624,0:10:12,10.2,612,8.999999998,539.9999999,2.197224577,22.53333333,1352,3.114995694,68.07,4084,8.314832179,4,2,2,1,0.75,0.5,2382,7.77569575,32.11,3.47,831.98,6.72,PM Peak,0:06,6,360,1.791759469,0:15,15,900,2.708050201,0:09,9,540,2.197224577,,,
2018,5/3/18,9:13:30,5800 S I15 SB,PD Crash,1,1,5.16666667,310.0000002,0:08:56,8.93,536,6.5,390,1.871802177,13.23333334,794.0000004,2.5827389,49.22,2953,7.990576882,6,2,4,1.67,0.72,0.333,3391,8.128880142,82.77,4.42,2250.13,7.72,Afternoon Off Peak,0:15,15,900,2.708050201,0:25,25,1500,3.218875825,0:10,10,600,2.302585093,,,
2018,5/3/18,13:51:18,8900 S I15 NB                                               ,PI Crash,1,3,23.23333333,1394,0:17:33,17.55,1053,20.7,1242,3.0301337,40.75,2445,3.70745584,93.02,5581,8.627123251,6,1,5,1,0.83,0.167,22548,10.02340165,385.17,5.95,10347.55,9.24,Afternoon Off Peak,2:23,143,8580,4.96284463,2:44,164,9840,5.099866428,0:21,21,1260,3.044522438,,,
2018,5/3/18,17:27:16,279000 I15 SB,PI Crash,1,3,12.55,753,0:10:33,10.55,633,17.73333334,1064,2.875446108,46.05,2763,3.829727763,46.47,2788,7.933079772,5,2,3,1.5,0.7,0.4,4604,8.43468077,1308.62,7.18,31761.73,10.37,PM Peak,0:15,15,900,2.708050201,0:35,35,2100,3.555348061,0:20,20,1200,2.995732274,,,
2018,5/4/18,7:27:56,1350 S I215W NB,PI Crash,1,1,21.58333334,1295,0:07:52,7.87,472,23.65,1419,3.163363115,23.65,1419,3.163363115,57.65,3459,8.148734809,5,1,4,,,0.2,1099,7.002155954,6.81,1.92,150.54,5.01,AM Peak,,-30,-1800,,0:10,10,600,2.302585093,0:40,40,2400,3.688879454,30,1800,3.401197382
2018,5/4/18,14:20:42,400 E I80  WB,PD Crash,1,3,13.51666666,810.9999996,0:04:55,4.92,295,24.25,1455,3.188416617,24.25,1455,3.188416617,149.38,8963,9.100860271,5,2,3,1.02,0.8,0.4,7086,8.865876285,37.55,3.63,1052.56,6.96,Afternoon Off Peak,0:05,5,300,1.609437912,1:20,80,4800,4.382026635,1:15,75,4500,4.317488114,,,
2018,5/4/18,15:07:43,2100 S I15 SB,PI Crash,1,2,22.95,1377,0:20:22,20.37,1222,75.28333333,4517,4.321258773,90.21666666,5413,4.502214185,131.25,7875,8.971448464,4,3,1,,,0.75,7945,8.980298079,502.45,6.22,13659.24,9.52,Afternoon Off Peak,0:12,12,720,2.48490665,1:28,88,5280,4.477336814,1:16,76,4560,4.33073334,,,
2018,5/8/18,12:13:59,7762 E I80 EB,PD Crash,2,5,13.8,828,0:05:20,5.33,320,17.01666666,1021,2.834193256,28.1,1686,3.335769576,130.07,7804,8.962391702,3,2,1,,,0.667,741,6.608000625,7.59,2.03,212.75,5.36,Afternoon Off Peak,0:09,9,540,2.197224577,0:27,27,1620,3.295836866,0:18,18,1080,2.890371758,,,
2018,5/9/18,14:24:06,8600 S I15 SB,PD Crash,2,4,2.383333335,143.0000001,0:09:33,9.55,573,23.9,1434,3.173878459,70.73333333,4244,4.258916937,138.2,8292,9.023046474,4,4,0,,,1,4308,8.368229038,729.7,6.59,19837.1,9.9,Afternoon Off Peak,0:07,7,420,1.945910149,0:31,31,1860,3.433987204,0:24,24,1440,3.17805383,,,
2018,5/9/18,17:54:34,264991 I15 SB,PD Crash,1,2,24.81666667,1489,0:09:45,9.75,585,33.43333333,2006,3.509553406,66.1,3966,4.191168747,134.52,8071,8.996032669,4,1,3,,,0.25,5148,8.546363569,202.18,5.31,4907.14,8.5,PM Peak,0:17,17,1020,2.833213344,0:51,51,3060,3.931825633,0:34,34,2040,3.526360525,,,
2018,5/11/18,7:33:49,3300 S I15 NB,PD Crash,2,3,0.683333336,41.00000016,0:01:37,1.62,97,44.18333333,2651,3.788347644,59.83333333,3590,4.091562919,64.05,3843,8.254008591,4,2,2,2,0.5,0.5,9329,9.140883107,1058.3,6.96,23391.45,10.06,AM Peak,0:37,37,2220,3.610917913,1:22,82,4920,4.406719247,0:45,45,2700,3.80666249,,,
2018,5/15/18,16:15:17,2500 S I15 SB,PD Crash,1,4,16.56666667,994.0000002,0:05:13,5.22,313,4.716666669,283.0000001,1.551102336,39.36666667,2362,3.672919435,100.5,6030,8.70450229,4,2,2,2,0.5,0.5,4291,8.364275085,111.04,4.71,2695.07,7.9,PM Peak,0:30,30,1800,3.401197382,0:35,35,2100,3.555348061,0:05,5,300,1.609437912,,,
2018,5/16/18,8:01:14,525 E I215S WB,PI Crash,3,5,15.16666667,910.0000002,0:06:51,6.85,411,118.7666667,7126.000002,4.777160784,128.6166667,7717.000002,4.856836404,176.87,10612,9.269740715,3,3,0,3,0,1,9089,9.11482017,753,6.62,16653.1,9.72,AM Peak,0:00,0,0,,2:00,120,7200,4.787491743,2:00,120,7200,4.787491743,,,
2018,5/17/18,10:54:18,272499 I15 SB,Fatal,4,12,10.66666667,640.0000002,0:07:40,7.67,460,172.7,10362,5.151555985,184.2166667,11053,5.216112601,643.9,38634,10.561888,5,4,1,3.98,0.2,0.8,11789,9.374922172,7192,8.88,195516.53,12.18,Afternoon Off Peak,,-12,-720,,2:35,155,9300,5.043425117,2:47,167,10020,5.117993812,12,720,2.48490665
2018,5/21/18,13:54:11,1100 S I15 SB,PD Crash,1,2,19.06666667,1144,0:00:00,0,0,12.81666667,769.0000002,2.550746408,48.83333334,2930,3.88841314,131.22,7873,8.971194463,5,1,4,1,0.8,0.2,3187,8.066835314,27.52,3.31,748.14,6.62,Afternoon Off Peak,0:13,13,780,2.564949357,0:30,30,1800,3.401197382,0:17,17,1020,2.833213344,,,
2018,5/22/18,17:36:01,266048 I15 SB                                               ,PD Crash,1,3,25.1,1506,0:10:22,10.37,622,13.98333333,838.9999998,2.637866144,52.56666666,3154,3.962082205,68.12,4087,8.315566484,5,3,2,1.18,0.76,0.6,7310,8.896998553,293.42,5.68,7121.64,8.87,PM Peak,0:55,55,3300,4.007333185,1:12,72,4320,4.276666119,0:17,17,1020,2.833213344,,,
2018,5/22/18,16:12:14,14931 S I15 NB                                              ,PI Crash,3,6,21.05000001,1263.000001,0:07:28,7.47,448,55.76666667,3346,4.021176319,123.35,7401,4.815025843,217.73,13064,9.477615635,6,4,2,1.97,0.67,0.667,13926,9.541512876,1446.21,7.28,37471.97,10.53,PM Peak,1:22,82,4920,4.406719247,2:20,140,8400,4.941642423,0:58,58,3480,4.060443011,,,
2018,5/22/18,12:39:32,278101 I15 NB,PD Crash,2,6,45.61666666,2737,0:03:55,3.92,235,126.4666667,7588.000002,4.839978769,136.5166667,8191.000002,4.916446708,195.1,11706,9.36785681,5,2,3,2,0.6,0.4,11551,9.354527292,1495.95,7.31,40188.55,10.6,Afternoon Off Peak,0:19,19,1140,2.944438979,2:28,148,8880,4.997212274,2:09,129,7740,4.859812404,,,
2018,5/23/18,17:58:06,278066 I15 SB                                               ,PD Crash,1,4,15.53333334,932.0000004,0:12:30,12.5,750,65.9,3954,4.188138442,81.16666667,4870,4.396504654,93.28,5597,8.629986019,6,2,4,2,0.67,0.333,6475,8.775703887,512.4,6.24,12436.54,9.43,PM Peak,0:16,16,960,2.772588722,1:22,82,4920,4.406719247,1:06,66,3960,4.189654742,,,
2018,5/23/18,16:27:47,3800 W I80 EB                                               ,PI Crash,1,4,13.43333334,806.0000004,0:12:01,12.02,721,69.96666667,4198,4.248018938,69.96666667,4198,4.248018938,95.83,5750,8.656955134,3,1,2,1,0.67,0.333,3749,8.229244417,97.45,4.58,2505.97,7.83,PM Peak,,-2,-120,,1:10,70,4200,4.248495242,1:12,72,4320,4.276666119,2,120,0.693147181
2018,5/24/18,15:24:32,9000 S I15 NB                                               ,PD Crash,1,1,12.61666666,756.9999996,0:28:00,28,1680,36.46666666,2188,3.596398601,79.98333333,4799,4.38181828,84.92,5095,8.536014946,5,1,4,1,0.8,0.2,4673,8.449556543,2036.04,7.62,54698.02,10.91,Afternoon Off Peak,,-11,-660,,0:30,30,1800,3.401197382,0:41,41,2460,3.713572067,11,660,2.397895273
2018,5/25/18,14:19:30,278066 I15 SB                                               ,PD Crash,2,4,3.133333332,187.9999999,0:03:01,3.02,181,52.49999999,3149.999999,3.960813169,70.74999999,4244.999999,4.259152536,64.45,3867,8.260234292,7,3,4,1.82,0.74,0.429,10606,9.269175158,3560.42,8.18,96791.01,11.48,Afternoon Off Peak,0:28,28,1680,3.33220451,1:25,85,5100,4.442651256,0:57,57,3420,4.043051268,,,
2018,5/29/18,17:24:18,1800 S I15 NB                                               ,PD Crash,1,3,25.21666666,1513,0:06:57,6.95,417,17.7,1062,2.87356464,51.38333333,3083,3.939313866,51.6,3096,8.037866235,5,2,3,1.11,0.78,0.4,7935,8.979038633,281.45,5.64,7292.5,8.89,PM Peak,0:43,43,2580,3.761200116,1:05,65,3900,4.17438727,0:22,22,1320,3.091042453,,,
2018,5/29/18,7:08:23,279002 I15 NB                                               ,PI Crash,1,5,27.88333333,1673,0:06:47,6.78,407,60.61666667,3637,4.104569883,63.86666667,3832,4.156797577,354.85,21291,9.966039727,5,3,2,2.34,0.53,0.6,10557,9.264544426,1404.61,7.25,31045.9,10.34,AM Peak,0:46,46,2760,3.828641396,1:50,110,6600,4.700480366,1:04,64,3840,4.158883083,,,
2018,5/30/18,15:25:45,600 S I15 NB                                                ,PI Crash,3,4,26.21666668,1573.000001,0:08:20,8.33,500,112.0833333,6724.999998,4.719242642,112.0833333,6724.999998,4.719242642,225.75,13545,9.513772755,5,3,2,2.66,0.47,0.6,19376,9.871790466,5958.45,8.69,160073.18,11.98,Afternoon Off Peak,1:27,87,5220,4.465908119,3:20,200,12000,5.298317367,1:53,113,6780,4.727387819,,,
2018,5/30/18,15:29:22,4934 W I80 WB; MM 114 I80 WB                                ,PI Crash,1,3,5.099999998,305.9999999,0:17:25,17.42,1045,67.53333333,4052,4.212621303,67.53333333,4052,4.212621303,66.13,3968,8.286017468,4,1,3,1,0.75,0.25,1359,7.214504414,18.68,2.93,523.62,6.26,Afternoon Off Peak,,-44,-2640,,0:30,30,1800,3.401197382,1:14,74,4440,4.304065093,44,2640,3.784189634
2018,6/1/18,13:43:14,5605 S I15 NB,PI Crash,1,3,15.51666667,931.0000002,0:04:19,4.32,259,50.76666666,3046,3.927239971,69.21666666,4153,4.237241681,59.33,3560,8.177515824,5,1,4,1,0.8,0.2,6727,8.813884558,285.78,5.66,7677.45,8.95,Afternoon Off Peak,,-4,-240,,0:50,50,3000,3.912023005,0:54,54,3240,3.988984047,4,240,1.386294361
2018,6/4/18,18:23:16,5400 S I15 NB                                               ,PD Crash,1,4,8.250000001,495.0000001,0:00:01,0.02,1,6.733333336,404.0000002,1.907070316,66.65,3999,4.199455047,115.18,6911,8.840869624,5,2,3,,,0.4,3243,8.084254106,110.41,4.7,2801.42,7.94,PM Peak,0:25,25,1500,3.218875825,0:35,35,2100,3.555348061,0:10,10,600,2.302585093,,,
2018,6/12/18,16:06:03,900 N I15 NB,PI Crash,1,3,9.233333333,554,0:09:36,9.6,576,16.95,1017,2.830267834,19.40000001,1164.000001,2.965273067,81.18,4871,8.491054534,3,3,0,1.47,0.51,1,17452,9.767209534,1182,7.07,30626.16,10.33,PM Peak,2:12,132,7920,4.882801923,2:30,150,9000,5.010635294,0:18,18,1080,2.890371758,,,
2018,6/13/18,8:16:57,1900 S I215W NB,PI Crash,2,3,14.93333334,896.0000004,0:09:47,9.78,587,81,4860,4.394449155,81.9,4914,4.405498991,81.85,4911,8.499232866,2,2,0,,,1,3509,8.163086376,35.61,3.57,787.2,6.67,AM Peak,,-42,-2520,,0:40,40,2400,3.688879454,1:22,82,4920,4.406719247,42,2520,3.737669618
2018,6/15/18,12:59:15,8000 S I15 NB,PI Crash,2,2,23.55,1413,0:21:07,21.12,1267,29.75,1785,3.392829132,89.83333334,5390,4.497956102,89.78,5387,8.591743923,5,2,3,2,0.6,0.4,10555,9.26435496,1283.53,7.16,34481.91,10.45,Afternoon Off Peak,1:01,61,3660,4.110873864,1:35,95,5700,4.553876892,0:34,34,2040,3.526360525,,,
2018,6/15/18,14:56:13,600 N I15 NB,PI Crash,1,1,10.48333334,629.0000004,0:14:09,14.15,849,28.78333334,1727,3.359796516,71.76666667,4306,4.273420116,73.05,4383,8.3854887,5,1,4,1,0.8,0.2,20647,9.935325309,1108.43,7.01,29777.86,10.3,Afternoon Off Peak,2:15,135,8100,4.905274778,2:50,170,10200,5.135798437,0:35,35,2100,3.555348061,,,
2018,6/18/18,8:10:02,9000 S I15 SB,PI Crash,3,3,11.61666667,697.0000002,0:10:01,10.02,601,87.96666666,5278,4.476957955,97.63333334,5858,4.581218965,97.63,5858,8.675563527,6,2,4,1.3,0.78,0.333,12759,9.453992184,2142.23,7.67,49481.1,10.81,AM Peak,0:32,32,1920,3.465735903,2:00,120,7200,4.787491743,1:28,88,5280,4.477336814,,,
2018,6/18/18,15:25:22,278101 I15 NB,PD Crash,1,1,36.85,2211,0:12:35,12.58,755,72.63333334,4358,4.285423953,91.45,5487,4.515792375,82.53,4952,8.507546814,6,1,5,1,0.83,0.167,12443,9.428913495,425.73,6.05,11437.19,9.34,Afternoon Off Peak,0:27,27,1620,3.295836866,1:30,90,5400,4.49980967,1:03,63,3780,4.143134726,,,
2018,6/19/18,8:56:32,279002 I15 NB                                               ,PD Crash,2,2,14.8,888,0:09:32,9.53,572,35.46666667,2128,3.568593288,36.36666667,2182,3.593652604,62.83,3770,8.23483028,5,1,4,1,0.8,0.2,2633,7.875879159,177.03,5.18,3912.87,8.27,AM Peak,0:03,3,180,1.098612289,0:40,40,2400,3.688879454,0:37,37,2220,3.610917913,,,
2018,6/19/18,9:23:54,278101 I15 NB,PI Crash,2,5,8.883333335,533.0000001,0:03:16,3.27,196,39.09999999,2345.999999,3.666122467,44.28333333,2657,3.790608383,198.95,11937,9.387398099,6,2,4,1.64,0.73,0.333,3959,8.283746747,306.97,5.73,8246.72,9.02,Afternoon Off Peak,0:07,7,420,1.945910149,0:47,47,2820,3.850147602,0:40,40,2400,3.688879454,,,
2018,6/19/18,15:18:33,284049 I15 SB,PI Crash,2,3,18.18333333,1091,0:04:49,4.82,289,35.45,2127,3.568123253,43.65,2619,3.776203282,61.78,3707,8.217978203,6,1,5,1,0.83,0.167,11418,9.342946337,375.6,5.93,10210.79,9.23,Afternoon Off Peak,1:01,61,3660,4.110873864,1:37,97,5820,4.574710979,0:36,36,2160,3.583518938,,,
2018,6/19/18,17:39:19,500 S I15 NB,PI Crash,1,2,7.36666667,442.0000002,0:00:00,0,0,51.18333334,3071,3.935413958,51.18333334,3071,3.935413958,87.55,5253,8.566554621,4,1,3,1,0.75,0.25,7912,8.976135873,252.59,5.53,6544.72,8.79,PM Peak,0:05,5,300,1.609437912,1:05,65,3900,4.17438727,1:00,60,3600,4.094344562,,,
2018,6/20/18,17:52:16,1000 N I15 SB                                               ,PI Crash,2,5,17.39999999,1043.999999,0:09:03,9.05,543,81.73333333,4904,4.403461915,129.7333333,7783.999998,4.865481061,149.1,8946,9.098961784,4,3,1,2.73,0.32,0.75,6771,8.820404065,987.55,6.9,23968.98,10.08,PM Peak,0:16,16,960,2.772588722,1:40,100,6000,4.605170186,1:24,84,5040,4.430816799,,,
2018,6/20/18,8:58:01,2400 N I15 SB,PD Crash,1,1,14.48333333,868.9999998,0:21:39,21.65,1299,22.98333333,1379,3.134769315,29.73333334,1784,3.392268751,103.78,6227,8.736649955,4,1,3,1,0.75,0.25,3321,8.108021221,62.67,4.14,1447.55,7.28,AM Peak,0:04,4,240,1.386294361,0:30,30,1800,3.401197382,0:26,26,1560,3.258096538,,,
2018,6/20/18,9:17:43,5900 S I15 SB,PD Crash,1,5,19.86666666,1192,0:08:10,8.17,490,34.28333333,2057,3.534659327,52.06666666,3124,3.952524949,92.57,5554,8.622273668,5,2,3,1.91,0.62,0.4,6272,8.743850562,481.42,6.18,13087.54,9.48,Afternoon Off Peak,0:23,23,1380,3.135494216,1:00,60,3600,4.094344562,0:37,37,2220,3.610917913,,,
2018,6/20/18,15:13:08,273995 I15 SB                                               ,PI Crash,2,3,16.08333333,964.9999998,0:07:50,7.83,470,42.86666667,2572,3.758094523,78.45,4707,4.362461479,84.38,5063,8.529714472,6,3,3,2.14,0.64,0.5,12547,9.437236872,945.18,6.85,25694.98,10.15,Afternoon Off Peak,1:09,69,4140,4.234106505,1:55,115,6900,4.744932128,0:46,46,2760,3.828641396,,,
2018,6/21/18,15:41:53,2100 S I15 NB                                               ,PD Crash,1,2,43.6,2616,0:00:01,0.02,1,103.1166667,6187.000002,4.635861034,113.4166667,6805.000002,4.731068353,97.05,5823,8.669570872,4,4,0,2.26,0.44,1,18748,9.838842359,4174.59,8.34,112149.95,11.63,Afternoon Off Peak,1:30,90,5400,4.49980967,3:15,195,11700,5.272999559,1:45,105,6300,4.65396035,,,
2018,6/21/18,15:33:49,2300 N I215W NB                                             ,PD Crash,1,2,58.85,3531,0:13:32,13.53,812,102.1833333,6130.999998,4.626768585,105.15,6309,4.655387902,100.78,6047,8.70731756,3,1,2,1,0.67,0.333,13558,9.514732058,2161.62,7.68,55792.34,10.93,Afternoon Off Peak,1:14,74,4440,4.304065093,2:50,170,10200,5.135798437,1:36,96,5760,4.564348191,,,
2018,6/21/18,1:24:31,259003 I15 SB                                               ,Fatal,2,6,76.86666667,4612,0:09:42,9.7,582,185.4833333,11129,5.222965031,196.8166667,11809,5.28227267,231.17,13870,9.537483513,6,6,0,5.88,0.02,1,1200,7.090076836,9.9,2.29,282.53,5.64,Morning Off Peak,0:10,10,600,2.302585093,3:00,180,10800,5.192956851,2:50,170,10200,5.135798437,,,
2018,6/22/18,13:00:52,9400 S I15 NB                                               ,PD Crash,1,1,3.150000003,189.0000002,0:15:47,15.78,947,3.133333332,187.9999999,1.1420974,76.41666667,4585,4.336200823,76.58,4595,8.432724035,6,1,5,1,0.83,0.167,15051,9.619199713,1112.69,7.01,29892.31,10.31,Afternoon Off Peak,2:06,126,7560,4.836281907,2:13,133,7980,4.890349128,0:07,7,420,1.945910149,,,
2018,6/26/18,18:11:38,1000 N I15 NB                                               ,PI Crash,2,2,10.26666667,616.0000002,0:07:35,7.58,455,39.36666667,2362,3.672919435,58.6,3516,4.070734697,66.22,3973,8.287276756,4,1,3,1,0.75,0.25,7606,8.936692688,380.01,5.94,9846.23,9.19,PM Peak,0:29,29,1740,3.36729583,1:10,70,4200,4.248495242,0:41,41,2460,3.713572067,,,
2018,6/26/18,13:41:14,4900 S I15 SB                                               ,PI Crash,2,3,5.133333328,307.9999997,0:00:00,0,0,13.14999999,788.9999994,2.576421758,13.14999999,788.9999994,2.576421758,100.93,6056,8.708804795,5,1,4,1,0.8,0.2,5827,8.670257567,127.91,4.85,3477.27,8.15,Afternoon Off Peak,0:18,19,1140,2.944438979,0:40,40,2400,3.688879454,0:21,21,1260,3.044522438,,,
2018,6/26/18,10:10:40,8100 S I15 NB                                               ,PI Crash,1,7,9.233333333,554,0:00:01,0.02,1,69.33333333,4160,4.238925791,70.56666667,4234,4.25655789,147.08,8825,9.085343882,6,3,3,2.28,0.62,0.5,11813,9.376955899,1565.1,7.36,42046.26,10.65,Afternoon Off Peak,0:40,40,2400,3.688879454,1:51,111,6660,4.709530201,1:11,71,4260,4.262679877,,,
2018,6/27/18,8:01:40,2900 S I15 NB                                               ,PD Crash,2,2,5.066666667,304,0:04:10,4.17,250,29.33333334,1760,3.378724526,33.30000001,1998.000001,3.505557397,84.38,5063,8.529714472,6,1,5,1,0.83,0.167,8632,9.063231507,267.66,5.59,5916.05,8.69,AM Peak,0:29,29,1740,3.36729583,1:00,60,3600,4.094344562,0:31,31,1860,3.433987204,,,
2018,6/28/18,18:33:50,6000 S I15 SB                                               ,PD Crash,1,2,19.21666666,1153,0:15:55,15.92,955,109.1666667,6550.000002,4.692875767,109.3666667,6562.000002,4.694706152,149.85,8991,9.103979356,5,1,4,1,0.8,0.2,8633,9.063347348,323.47,5.78,8423.57,9.04,Night Off Peak,,-23,-1380,,1:25,85,5100,4.442651256,1:48,108,6480,4.682131227,23,1380,3.135494216
2018,7/3/18,6:40:33,1300 W I215S WB                                             ,PD Crash,2,3,11.55000001,693.0000006,0:09:24,9.4,564,24.45000001,1467.000001,3.196630216,42.95,2577,3.760036648,110.08,6605,8.795582217,4,1,3,1,0.75,0.25,2553,7.845024417,8.84,2.18,195.42,5.28,AM Peak,,0,0,,0:25,25,1500,3.218875825,0:25,25,1500,3.218875825,,,
2018,7/5/18,15:38:58,3000 S I15 NB                                               ,PD Crash,1,2,1.499999994,89.99999964,0:11:11,11.18,671,8.033333325,481.9999995,2.083599551,21.95,1317,3.08876714,58.37,3502,8.161089513,6,1,5,1,0.83,0.167,8803,9.082847851,152.72,5.03,4102.81,8.32,Afternoon Off Peak,0:58,58,3480,4.060443011,1:05,65,3900,4.17438727,0:07,7,420,1.945910149,,,
2018,7/6/18,8:49:59,4892 E I80 EB                                               ,PD Crash,2,3,33.8,2028,0:14:46,14.77,886,23.01666667,1381,3.136218591,38.81666667,2329,3.658849708,68.85,4131,8.326274787,3,2,1,1.95,0.35,0.667,2731,7.912423121,242.4,5.49,5803.67,8.67,AM Peak,0:27,27,1620,3.295836866,0:51,51,3060,3.931825633,0:24,24,1440,3.17805383,,,
2018,7/9/18,8:46:00,284049 I15 SB                                               ,PD Crash,1,2,8.033333336,482.0000002,0:10:51,10.85,651,13,780,2.564949357,28.85000001,1731.000001,3.362109993,72.8,4368,8.382060517,4,3,1,3,0.25,0.75,6303,8.74878099,351.37,5.86,8115.92,9,AM Peak,0:51,51,3060,3.931825633,1:05,65,3900,4.17438727,0:14,14,840,2.63905733,,,
2018,7/9/18,11:42:54,10600 S I15 SB                                              ,PI Crash,2,2,30.49999999,1829.999999,0:19:00,19,1140,18.1,1086,2.895911938,56.51666667,3391,4.03453558,56.03,3362,8.120291314,6,1,5,1,0.83,0.167,6633,8.79981247,79.38,4.37,2157.97,7.68,Afternoon Off Peak,0:49,49,2940,3.891820298,0:55,55,3300,4.007333185,0:06,6,360,1.791759469,,,
2018,7/10/18,8:30:33,13000 S I15 NB                                              ,PD Crash,1,1,20.66666667,1240,0:12:44,12.73,764,14.45,867,2.670694415,74.41666667,4465,4.309679931,82.28,4937,8.504513138,5,2,3,1.07,0.79,0.4,3409,8.134174272,100.31,4.61,2217.14,7.7,AM Peak,0:15,15,900,2.708050201,0:30,30,1800,3.401197382,0:15,15,900,2.708050201,,,
2018,7/10/18,13:24:37,4500 S I15 NB                                               ,PD Crash,1,4,9.483333339,569.0000003,0:04:48,4.8,288,23.38333333,1403,3.152023518,50.55,3033,3.922962945,181.68,10901,9.296609807,5,1,4,0.79,0.84,0.2,6145,8.723394022,110.72,4.71,2974.48,8,Afternoon Off Peak,0:22,22,1320,3.091042453,0:45,45,2700,3.80666249,0:23,23,1380,3.135494216,,,
2018,7/11/18,7:49:24,3300 S I15 NB                                               ,PD Crash,2,3,10.5,630,0:00:00,0,0,25.6,1536,3.242592351,30.26666667,1816,3.410046997,30.27,1816,7.504391559,5,3,2,0.68,0.86,0.6,8865,9.089866219,406.61,6.01,8987.24,9.1,AM Peak,0:30,30,1800,3.401197382,1:05,65,3900,4.17438727,0:35,35,2100,3.555348061,,,
2018,7/11/18,15:22:14,7200 S I15 SB                                               ,PD Crash,1,1,15.91666667,955.0000002,0:09:43,9.72,583,2.766666664,165.9999998,1.017643225,55.88333333,3353,4.023266184,92.63,5558,8.62299361,6,1,5,1,0.83,0.167,23964,10.08430798,1340.46,7.2,36440.78,10.5,Afternoon Off Peak,3:20,200,12000,5.298317367,3:25,205,12300,5.323009979,0:05,5,300,1.609437912,,,
2018,7/11/18,16:35:25,600 N I15 NB                                                ,PI Crash,1,2,13.93333333,835.9999998,0:12:16,12.27,736,45.58333333,2735,3.819542153,60.80000001,3648.000001,4.107589789,67.93,4076,8.312871394,5,1,4,1,0.8,0.2,12986,9.471627133,586.38,6.37,15193.38,9.63,PM Peak,0:59,59,3540,4.077537444,1:45,105,6300,4.65396035,0:46,46,2760,3.828641396,,,
2018,7/12/18,14:38:13,5500 S I15 SB                                               ,PI Crash,1,1,10.51666666,630.9999996,0:10:08,10.13,608,34.78333333,2087,3.549138345,73.48333334,4409,4.297058623,1482.08,88925,11.3955486,6,1,5,1,0.83,0.167,8006,8.98794654,700.65,6.55,19047.37,9.85,Afternoon Off Peak,0:22,22,1320,3.091042453,1:00,60,3600,4.094344562,0:38,38,2280,3.63758616,,,
2018,7/12/18,18:28:15,175 W I215S WB                                              ,PI Crash,2,5,15.9,954,0:10:09,10.15,609,12.74999999,764.9999994,2.545531271,31.31666666,1879,3.444150437,84.57,5074,8.53188474,3,3,0,2.63,0.13,1,2582,7.856319571,42.02,3.74,963.49,6.87,PM Peak,0:19,19,1140,2.944438979,0:30,30,1800,3.401197382,0:11,11,660,2.397895273,,,
